shooterPlayerId,shooterName,team,shooterLeftRight,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,event,location,shotType,shotAngle,shotAnglePlusRebound,shotDistance,shotOnEmptyNet,shotRebound,shotRush,shotWasOnGoal,shotGeneratedRebound,shotGoalieFroze,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedYCord,goalieIdForShot,goalieNameForShot,teamCode,isHomeTeam,homeSkatersOnIce,awaySkatersOnIce,game_id,homeTeamCode,awayTeamCode,homeTeamGoals,awayTeamGoals,time,period
8476869,Brady Skjei,HOME,L,51,51,SHOT,AWAYZONE,WRIST,30.9637565321,0,69.9714227381,0,0,0,1,0,1,77,-23,-40,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,986,1
8475799,Nino Niederreiter,HOME,L,12,12,SHOT,AWAYZONE,SNAP,-36.634113876,0,48.6004115209,0,0,0,1,0,0,49,-50,29,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,999,1
8477950,Tony DeAngelo,HOME,R,39,39,SHOT,AWAYZONE,SNAP,5.10216525236,0,56.2227711875,0,0,0,1,0,0,55,-34,-5,8476999,Linus Ullmark,CAR,1,5,4,30131,CAR,BOS,0,0,1041,1
8475799,Nino Niederreiter,HOME,L,16,16,MISS,AWAYZONE,DEFL,-12.094757077,0,14.3178210633,0,0,0,0,0,0,18,-71,4,8476999,Linus Ullmark,CAR,1,5,4,30131,CAR,BOS,0,0,1074,1
8482093,Seth Jarvis,HOME,R,24,24,MISS,AWAYZONE,WRIST,48.0127875042,60.1075445812,13.4536240471,0,0,0,0,0,0,17,-78,-13,8476999,Linus Ullmark,CAR,1,5,4,30131,CAR,BOS,0,0,1082,1
8480039,Martin Necas,HOME,R,60,60,SHOT,AWAYZONE,WRIST,-17.1027289691,0,13.6014705087,0,0,0,1,0,0,18,-72,5,8476999,Linus Ullmark,CAR,1,5,4,30131,CAR,BOS,0,0,1118,1
8477488,Brett Pesce,HOME,R,5,5,SHOT,AWAYZONE,WRIST,76.5042667192,0,25.7099202644,0,0,0,1,0,0,30,-82,-29,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,1135,1
8478427,Sebastian Aho,HOME,L,10,10,MISS,AWAYZONE,WRIST,-18.7998851587,0,49.6487663492,0,0,0,0,0,0,50,-42,16,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,1169,1
8477488,Brett Pesce,HOME,R,6,6,MISS,AWAYZONE,WRIST,-46.5074357588,0,53.7587202229,0,0,0,0,0,0,53,53,-38,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,1206,2
8477488,Brett Pesce,HOME,R,9,2,MISS,AWAYZONE,WRIST,-18.7780332224,0,52.810983706,0,0,0,0,0,0,52,40,-17,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,1209,2
8475791,Taylor Hall,AWAY,L,30,23,SHOT,HOMEZONE,WRIST,88.3153156821,0,34.0147027034,0,0,0,1,0,0,36,-88,-36,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,0,0,1275,2
8475287,Erik Haula,AWAY,L,42,35,MISS,Neu. Zone,WRIST,10.6196552762,0,81.3941029805,0,0,0,0,0,0,86,-4,-16,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,0,0,1287,2
8477508,Curtis Lazar,AWAY,R,7,7,SHOT,HOMEZONE,WRIST,-46.5074357588,0,53.7587202229,0,0,0,1,0,0,53,-53,38,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,0,0,1372,2
8476958,Jaccob Slavin,HOME,L,13,8,MISS,AWAYZONE,WRIST,37.5685920288,0,65.6048778674,0,0,0,0,0,0,63,39,38,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,1409,2
8477956,David Pastrnak,AWAY,R,21,21,SHOT,HOMEZONE,WRIST,74.0546040991,0,7.28010988928,0,0,0,1,0,1,7.28010988928,-87,-7,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,0,0,1462,2
8475287,Erik Haula,AWAY,L,37,13,SHOT,HOMEZONE,WRIST,-33.231711068,0,34.6698716467,0,0,0,1,0,0,37,-58,20,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,0,0,1476,2
8478427,Sebastian Aho,HOME,L,52,31,MISS,AWAYZONE,TIP,29.3577535428,0,18.3575597507,0,0,0,0,0,0,22,70,11,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,1494,2
8480830,Andrei Svechnikov,HOME,L,59,40,SHOT,AWAYZONE,DEFL,54.462322208,25.1045686652,8.60232526704,0,0,0,1,0,1,8.60232526704,84,7,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,1503,2
8476882,Teuvo Teravainen,HOME,L,21,21,SHOT,AWAYZONE,SNAP,10.8855270547,0,26.4764045897,0,0,0,1,0,1,30,60,6,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,1525,2
8477950,Tony DeAngelo,HOME,R,10,10,SHOT,AWAYZONE,WRIST,25.6021875514,0,53.2259335287,0,0,0,1,0,1,52,42,22,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,1536,2
8476958,Jaccob Slavin,HOME,L,17,6,MISS,AWAYZONE,WRIST,37.7468053873,0,39.2045915678,0,0,0,0,0,0,40,57,24,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,1543,2
8475287,Erik Haula,AWAY,L,8,8,SHOT,HOMEZONE,SNAP,44.1930705449,0,50.2095608425,0,0,0,1,0,0,50,-53,-35,8477293,Antti Raanta,BOS,0,5,5,30131,CAR,BOS,0,0,1602,2
8482093,Seth Jarvis,HOME,R,15,15,MISS,AWAYZONE,WRIST,39.2894068625,0,28.4253408071,0,0,0,0,0,0,32,64,20,8476999,Linus Ullmark,CAR,1,5,5,30131,CAR,BOS,0,0,1639,2
8477956,David Pastrnak,AWAY,R,6,6,MISS,HOMEZONE,SLAP,4.398705355,0,52.1536192416,0,0,0,0,0,0,51,-38,-4,8477293,Antti Raanta,BOS,0,4,5,30131,CAR,BOS,0,0,1701,2
8476854,Hampus Lindholm,AWAY,L,18,18,SHOT,Neu. Zone,WRIST,3.01278750418,0,76.1051903618,0,0,0,1,0,1,84,-5,-4,8477293,Antti Raanta,BOS,0,4,5,30131,CAR,BOS,0,0,1769,2
