Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,overall,Min,MP,Start%,MinPerMatch,npG90,npxG90,xA90,PassLiveSCA90,GCA90,ProgReceived90,SuccDrib90,DribSCA90,Drib%,ProgDistCarry90,ProgCarries90,ProgPassDist90,ProgPass90,Switch90,PassInt90,SuccPass90,FailedPass90,Miscontrols90,Disposs90,Tackle%,DribPast90,SuccPress90,Press%,TklWon90,Recov90,Blocks90,Int90,Err90,ADWon90,AD%,Fouls90,FoulsWon90,Tch90,Att3Tch90,AttPenTch90,End
2021,Arsenal,Premier League,Pablo Marí,ESP,DF,26,76,900,10,1,90,0,0,0,0.1,0,0.1,0.3,0,100,155.1,3.5,275.3,1.9,1,0.7,53.7,5.5,0.1,0,36.4,0.7,2.7,39.7,1.1,7.2,1.3,0.5,0,2.9,64.4,1,0.5,67.2,1,0.3,0
2021,Arsenal,Premier League,Emile Smith Rowe,ENG,"MF,FW",20,76,1440,20,0.9,72,0.125,0.125,0.1875,2.1875,0.4375,5.9375,0.4375,0.125,24.1,113.75,4.9375,112.125,2.625,0.3125,0.75,39.6875,5.5625,1.5,1,43.8,0.5625,3.875,25.7,0.5,6.625,1.0625,0.875,0,0.5,47.1,0.4375,1.3125,54,23.6875,3.0625,0
2021,Arsenal,Premier League,Rob Holding,ENG,DF,24,77,2558,30,0.9333333333333333,85,0,0.03870211102423769,0.007036747458952307,0.3870211102423769,0.10555121188428461,0.035183737294761534,0.3166536356528538,0,75,151.88819390148555,3.694292415949961,347.47458952306494,3.553557466770915,2.111024237685692,0.5629397967161845,55.5199374511337,6.684910086004692,0.10555121188428461,0.2814698983580923,33.3,0.6333072713057076,3.1313526192337764,30.1,0.7388584831899923,8.725566849100861,1.8999218139171228,0.8092259577795153,0,2.462861610633307,56,1.0906958561376077,0.21110242376856922,71.2470680218921,2.638780297107115,0.7036747458952307,0
2021,Arsenal,Premier League,Gabriel Dos Santos,BRA,DF,22,79,1996,23,0.9565217391304348,87,0.09018036072144289,0.045090180360721446,0.0045090180360721445,0.27054108216432865,0,0.405811623246493,0.18036072144288579,0.045090180360721446,44.4,196.86372745490982,5.00501002004008,352.6052104208417,2.3897795591182365,1.3076152304609219,1.0370741482965933,57.85070140280561,9.423847695390782,0.13527054108216433,0.18036072144288579,52.9,0.36072144288577157,2.4799599198396796,36.4,0.7665330661322646,7.980961923847696,1.8486973947895793,1.0370741482965933,0.09018036072144289,3.11122244488978,60.5,0.9919839679358717,1.3076152304609219,76.69839679358718,2.6603206412825653,1.1272545090180361,0
2021,Arsenal,Premier League,Granit Xhaka,SUI,"MF,DF",27,79,2522,31,0.9354838709677419,81,0.035685963521015066,0.028548770816812057,0.05709754163362411,1.2846946867565425,0.1070578905630452,0.9278350515463918,0.3568596352101507,0,52.6,170.7930214115781,5.674068199841396,366.03092783505156,7.601110229976209,2.5337034099920697,1.3917525773195876,69.4091990483743,7.8152260111022995,0.24980174464710547,0.6780333068992863,51.6,1.1062648691514672,3.4258524980174463,27.7,1.3203806502775575,11.312450436161777,1.1776367961934973,0.8921490880253767,0.035685963521015066,1.641554321966693,58.2,1.6772402854877082,1.534496431403648,82.50594766058684,14.524187153053132,0.4282315622521808,0
2021,Arsenal,Premier League,Bukayo Saka,ENG,"FW,DF",18,80,2553,32,0.9375,80,0.1762632197414806,0.24324324324324326,0.16568742655699178,2.2209165687426555,0.42303172737955347,7.755581668625147,1.4806110458284372,0.282021151586369,52.5,122.92596944770858,7.262044653349001,121.37485311398355,2.256169212690952,1.3043478260869565,0.7755581668625147,30.493537015276146,10.223266745005875,1.6568742655699178,2.326674500587544,13.3,0.9165687426556992,3.9130434782608696,28.2,0.6698002350176263,6.204465334900117,1.4101057579318448,0.9518213866039953,0,0.5287896592244419,25.9,1.0223266745005875,2.643948296122209,50.693301997649826,29.400705052878966,5.4641598119858985,0
2021,Arsenal,Premier League,Kieran Tierney,SCO,DF,23,80,2299,27,0.9629629629629629,85,0.039147455415398,0.0156589821661592,0.16050456720313178,1.800782949108308,0.274032187907786,3.601565898216616,0.861244019138756,0.19573727707698999,52.4,131.37886037407569,5.8721183123097,237.58590691605045,3.836450630709004,1.0569812962157459,0.8220965637233579,44.47150935189213,13.858199217050892,0.7829491083079599,0.626359286646368,32.1,0.743801652892562,2.54458460200087,33,0.665506742061766,8.260113092648979,1.9573727707699,0.7829491083079599,0,0.743801652892562,29.7,0.626359286646368,0.861244019138756,59.34754240974337,24.584602000869943,2.035667681600696,0
2021,Arsenal,Premier League,Nicolas Pépé,CIV,FW,25,81,1616,29,0.5517241379310345,56,0.5012376237623762,0.3452970297029703,0.05012376237623763,1.3366336633663367,0.5012376237623762,7.852722772277228,1.7264851485148516,0.22277227722772278,39.7,107.76608910891089,5.903465346534653,81.64603960396039,2.227722772277228,0.6126237623762376,1.61509900990099,28.403465346534652,9.133663366336634,1.5037128712871286,2.004950495049505,33.3,0.8910891089108911,3.3415841584158414,25.6,0.8910891089108911,5.736386138613861,1.3923267326732673,1.0024752475247525,0.055693069306930694,1.9492574257425743,52.2,0.8910891089108911,1.8935643564356435,49.9009900990099,28.90470297029703,6.40470297029703,0
2021,Arsenal,Premier League,Alexandre Lacazette,FRA,FW,29,82,1923,31,0.7096774193548387,62,0.46801872074882994,0.3463338533541342,0.12636505460218408,1.3104524180967239,0.23400936037441497,7.254290171606864,0.9360374414976599,0.14040561622464898,60.6,31.123244929797192,1.7316692667706708,58.361934477379094,2.152886115444618,0.28081123244929795,0.42121684867394693,19.18876755070203,5.335413416536661,1.5444617784711387,1.497659906396256,25,0.5616224648985959,5.00780031201248,32.5,0.8892355694227769,4.633385335413417,0.7956318252730109,0.6552262090483619,0,1.4040561622464898,33,1.9188767550702028,3.1825273010920436,33.79095163806552,16.380655226209047,4.773790951638065,0
2021,Arsenal,Premier League,Bernd Leno,GER,GK,28,83,3131,35,1,89,0,0,0,0.028744809964867453,0,0,0,0,0,37.310763334397954,0,320.5621207282018,0.057489619929734906,0.6036410092622165,0.08623442989460235,26.50271478760779,6.726285531778984,0,0,0,0,0.057489619929734906,66.7,0,4.28297668476525,0.028744809964867453,0,0,0,0,0.028744809964867453,0.14372404982433726,26.876397317151067,0.028744809964867453,0.028744809964867453,0
